gene_symbol	hgnc_id	omim_disease_id	omim_title	omim_disease_description	omim_description_original	omim_all_criteria_include	omim_molecular_basis_known	omim_type_include	omim_id_include	omim_disease_description_somatic_response_include	gene_include
FBP2	HGNC:3607	619864	LEUKODYSTROPHY, CHILDHOOD-ONSET, REMITTING	?Leukodystrophy, childhood-onset, remitting	?Leukodystrophy, childhood-onset, remitting, 619864 (3)	n	y	n	y	y	y
CNP	HGNC:2158	619071	LEUKODYSTROPHY, HYPOMYELINATING, 20	?Leukodystrophy, hypomyelinating, 20	?Leukodystrophy, hypomyelinating, 20, 619071 (3)	n	y	n	y	y	y
ATP11A	HGNC:13552	619851	LEUKODYSTROPHY, HYPOMYELINATING, 24	?Leukodystrophy, hypomyelinating, 24	?Leukodystrophy, hypomyelinating, 24, 619851 (3)	n	y	n	y	y	y
ACER3	HGNC:16066	617762	LEUKODYSTROPHY, PROGRESSIVE, EARLY CHILDHOOD-ONSET	?Leukodystrophy, progressive, early childhood-onset	?Leukodystrophy, progressive, early childhood-onset, 617762 (3)	n	y	n	y	y	y
SCP2	HGNC:10606	613724	LEUKOENCEPHALOPATHY WITH DYSTONIA AND MOTOR NEUROPATHY	?Leukoencephalopathy with dystonia and motor neuropathy	?Leukoencephalopathy with dystonia and motor neuropathy, 613724 (3)	n	y	n	y	y	y
AARS1	HGNC:20	619661	LEUKOENCEPHALOPATHY, HEREDITARY DIFFUSE, WITH SPHEROIDS 2	?Leukoencephalopathy, hereditary diffuse, with spheroids 2	?Leukoencephalopathy, hereditary diffuse, with spheroids 2, 619661 (3)	n	y	n	y	y	y
EIF2AK1	HGNC:24921	618878	LEUKOENCEPHALOPATHY, MOTOR DELAY, SPASTICITY, AND DYSARTHRIA SYNDROME	?Leukoencephalopathy, motor delay, spasticity, and dysarthria syndrome	?Leukoencephalopathy, motor delay, spasticity, and dysarthria syndrome, 618878 (3)	n	y	n	y	y	y
SCNN1A	HGNC:10599	618126	LIDDLE SYNDROME 3	?Liddle syndrome 3	?Liddle syndrome 3, 618126 (3)	n	y	n	y	y	y
CAV1	HGNC:1527	612526	LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 3	?Lipodystrophy, congenital generalized, type 3	?Lipodystrophy, congenital generalized, type 3, 612526 (3)	n	y	n	y	y	y
CIDEC	HGNC:24229	615238	LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 5	?Lipodystrophy, familial partial, type 5	?Lipodystrophy, familial partial, type 5, 615238 (3)	n	y	n	y	y	y
CDK5	HGNC:1774	616342	LISSENCEPHALY 7 WITH CEREBELLAR HYPOPLASIA	?Lissencephaly 7 with cerebellar hypoplasia	?Lissencephaly 7 with cerebellar hypoplasia, 616342 (3)	n	y	n	y	y	y
AKAP9	HGNC:379	611820	LONG QT SYNDROME 11	?Long QT syndrome 11	?Long QT syndrome 11, 611820 (3)	n	y	n	y	y	y
CALCRL	HGNC:16709	618773	LYMPHATIC MALFORMATION 8	?Lymphatic malformation 8	?Lymphatic malformation 8, 618773 (3)	n	y	n	y	y	y
ACP2	HGNC:123	200950	NA	?Lysosomal acid phosphatase deficiency	?Lysosomal acid phosphatase deficiency, 200950 (1)	n	n	n	y	y	y
RAX2	HGNC:18286	613757	MACULAR DEGENERATION, AGE-RELATED, 6	?Macular degeneration, age-related, 6	?Macular degeneration, age-related, 6, 613757 (3)	n	y	n	y	y	y
MAPKAP3	HGNC:6888	617111	MACULAR DYSTROPHY, PATTERNED, 3	?Macular dystrophy, patterned, 3	?Macular dystrophy, patterned, 3, 617111 (3)	n	y	n	y	y	y
ACR	HGNC:126	-	NA	?Male infertility due to acrosin deficiency (2)	?Male infertility due to acrosin deficiency (2)	n	n	n	n	y	y
PPM1K	HGNC:25415	615135	MAPLE SYRUP URINE DISEASE, MILD VARIANT	?Maple syrup urine disease, mild variant	?Maple syrup urine disease, mild variant, 615135 (3)	n	y	n	y	y	y
PIEZO2	HGNC:26270	248700	MARDEN-WALKER SYNDROME	?Marden-Walker syndrome	?Marden-Walker syndrome, 248700 (3)	n	y	n	y	y	y
ZFHX2	HGNC:20152	147430	MARSILI SYNDROME	?Marsili syndrome	?Marsili syndrome, 147430 (3)	n	y	n	y	y	y
B9D2	HGNC:28636	614175	MECKEL SYNDROME, TYPE 10	?Meckel syndrome 10	?Meckel syndrome 10, 614175 (3)	n	y	n	y	y	y
KIF14	HGNC:19181	616258	MECKEL SYNDROME 12	?Meckel syndrome 12	?Meckel syndrome 12, 616258 (3)	n	y	n	y	y	y
TCTN2	HGNC:25774	613885	MECKEL SYNDROME, TYPE 8	?Meckel syndrome 8	?Meckel syndrome 8, 613885 (3)	n	y	n	y	y	y
B9D1	HGNC:24123	614209	MECKEL SYNDROME, TYPE 9	?Meckel syndrome 9	?Meckel syndrome 9, 614209 (3)	n	y	n	y	y	y
LMOD1	HGNC:6647	619362	MEGACYSTIS-MICROCOLON-INTESTINAL HYPOPERISTALSIS SYNDROME 3	?Megacystis-microcolon-intestinal hypoperistalsis syndrome 3	?Megacystis-microcolon-intestinal hypoperistalsis syndrome 3, 619362 (3)	n	y	n	y	y	y
MYL9	HGNC:15754	619365	MEGACYSTIS-MICROCOLON-INTESTINAL HYPOPERISTALSIS SYNDROME 4	?Megacystis-microcolon-intestinal hypoperistalsis syndrome 4	?Megacystis-microcolon-intestinal hypoperistalsis syndrome 4, 619365 (3)	n	y	n	y	y	y
SLC19A1	HGNC:10937	601775	MEGALOBLASTIC ANEMIA, FOLATE-RESPONSIVE	?Megaloblastic anemia, folate-responsive	?Megaloblastic anemia, folate-responsive, 601775 (3)	n	y	n	y	y	y
CDC6	HGNC:1744	613805	MEIER-GORLIN SYNDROME 5	?Meier-Gorlin syndrome 5	?Meier-Gorlin syndrome 5, 613805 (3)	n	y	n	y	y	y
MCM5	HGNC:6948	617564	MEIER-GORLIN SYNDROME 8	?Meier-Gorlin syndrome 8	?Meier-Gorlin syndrome 8, 617564 (3)	n	y	n	y	y	y
MROS	-	-	NA	?Melkersson-Rosenthal syndrome (2)	?Melkersson-Rosenthal syndrome (2)	n	n	n	n	y	n
PHC1	HGNC:3182	615414	MICROCEPHALY 11, PRIMARY, AUTOSOMAL RECESSIVE	?Microcephaly 11, primary, autosomal recessive	?Microcephaly 11, primary, autosomal recessive, 615414 (3)	n	y	n	y	y	y
CDK6	HGNC:1777	616080	MICROCEPHALY 12, PRIMARY, AUTOSOMAL RECESSIVE	?Microcephaly 12, primary, autosomal recessive	?Microcephaly 12, primary, autosomal recessive, 616080 (3)	n	y	n	y	y	y
CENPE	HGNC:1856	616051	MICROCEPHALY 13, PRIMARY, AUTOSOMAL RECESSIVE	?Microcephaly 13, primary, autosomal recessive	?Microcephaly 13, primary, autosomal recessive, 616051 (3)	n	y	n	y	y	y
WDFY3	HGNC:20751	617520	MICROCEPHALY 18, PRIMARY, AUTOSOMAL DOMINANT	?Microcephaly 18, primary, autosomal dominant	?Microcephaly 18, primary, autosomal dominant, 617520 (3)	n	y	n	y	y	y
COPB2	HGNC:2232	617800	MICROCEPHALY 19, PRIMARY, AUTOSOMAL RECESSIVE	?Microcephaly 19, primary, autosomal recessive	?Microcephaly 19, primary, autosomal recessive, 617800 (3)	n	y	n	y	y	y
NCAPD2	HGNC:24305	617983	MICROCEPHALY 21, PRIMARY, AUTOSOMAL RECESSIVE	?Microcephaly 21, primary, autosomal recessive	?Microcephaly 21, primary, autosomal recessive, 617983 (3)	n	y	n	y	y	y
NCAPH	HGNC:1112	617985	MICROCEPHALY 23, PRIMARY, AUTOSOMAL RECESSIVE	?Microcephaly 23, primary, autosomal recessive	?Microcephaly 23, primary, autosomal recessive, 617985 (3)	n	y	n	y	y	y
NUP37	HGNC:29929	618179	MICROCEPHALY 24, PRIMARY, AUTOSOMAL RECESSIVE	?Microcephaly 24, primary, autosomal recessive	?Microcephaly 24, primary, autosomal recessive, 618179 (3)	n	y	n	y	y	y
MAP11	HGNC:25604	618351	MICROCEPHALY 25, PRIMARY, AUTOSOMAL RECESSIVE	?Microcephaly 25, primary, autosomal recessive	?Microcephaly 25, primary, autosomal recessive, 618351 (3)	n	y	n	y	y	y
RRP7A	HGNC:24286	619453	MICROCEPHALY 28, PRIMARY, AUTOSOMAL RECESSIVE	?Microcephaly 28, primary, autosomal recessive	?Microcephaly 28, primary, autosomal recessive, 619453 (3)	n	y	n	y	y	y
PDCD6IP	HGNC:8766	620047	MICROCEPHALY 29, PRIMARY, AUTOSOMAL RECESSIVE	?Microcephaly 29, primary, autosomal recessive	?Microcephaly 29, primary, autosomal recessive, 620047 (3)	n	y	n	y	y	y
ARL2	HGNC:693	619082	MICROCORNEA, ROD-CONE DYSTROPHY, CATARACT, AND POSTERIOR STAPHYLOMA 1	?Microcornea, rod-cone dystrophy, cataract, and posterior staphyloma 1	?Microcornea, rod-cone dystrophy, cataract, and posterior staphyloma 1, 619082 (3)	n	y	n	y	y	y
BEST1	HGNC:12703	193220	VITREORETINOCHOROIDOPATHY	?Microcornea, rod-cone dystrophy, cataract, and posterior staphyloma 2	?Microcornea, rod-cone dystrophy, cataract, and posterior staphyloma 2, 193220 (3)	n	y	n	y	y	y
TENM3	HGNC:29944	615145	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 9	?Microphthalmia, isolated, with coloboma 9	?Microphthalmia, isolated, with coloboma 9, 615145 (3)	n	y	n	y	y	y
VAX1	HGNC:12660	614402	MICROPHTHALMIA, SYNDROMIC 11	?Microphthalmia, syndromic 11	?Microphthalmia, syndromic 11, 614402 (3)	n	y	n	y	y	y
HMGB3	HGNC:5004	300915	MICROPHTHALMIA, SYNDROMIC 13	?Microphthalmia, syndromic 13	?Microphthalmia, syndromic 13, 300915 (3)	n	y	n	y	y	y
HOXA2	HGNC:5103	612290	MICROTIA, HEARING IMPAIRMENT, AND CLEFT PALATE	?Microtia, hearing impairment, and cleft palate (AR)	?Microtia, hearing impairment, and cleft palate (AR), 612290 (3)	n	y	n	y	y	y
DNAL4	HGNC:2955	616059	MIRROR MOVEMENTS 3	?Mirror movements 3	?Mirror movements 3, 616059 (3)	n	y	n	y	y	y
OPA1	HGNC:8140	616896	MITOCHONDRIAL DNA DEPLETION SYNDROME 14 (CARDIOENCEPHALOMYOPATHIC TYPE)	?Mitochondrial DNA depletion syndrome 14 (encephalocardiomyopathic type)	?Mitochondrial DNA depletion syndrome 14 (encephalocardiomyopathic type), 616896 (3)	n	y	n	y	y	y
TFAM	HGNC:11741	617156	MITOCHONDRIAL DNA DEPLETION SYNDROME 15 (HEPATOCEREBRAL TYPE)	?Mitochondrial DNA depletion syndrome 15 (hepatocerebral type)	?Mitochondrial DNA depletion syndrome 15 (hepatocerebral type), 617156 (3)	n	y	n	y	y	y
POLG2	HGNC:9180	618528	MITOCHONDRIAL DNA DEPLETION SYNDROME 16 (HEPATIC TYPE)	?Mitochondrial DNA depletion syndrome 16 (hepatic type)	?Mitochondrial DNA depletion syndrome 16 (hepatic type), 618528 (3)	n	y	n	y	y	y
POLG2	HGNC:9180	619425	MITOCHONDRIAL DNA DEPLETION SYNDROME 16B (NEUROOPHTHALMIC TYPE)	?Mitochondrial DNA depletion syndrome 16B (neuroophthalmic type)	?Mitochondrial DNA depletion syndrome 16B (neuroophthalmic type), 619425 (3)	n	y	n	y	y	y
MRM2	HGNC:16352	618567	MITOCHONDRIAL DNA DEPLETION SYNDROME 17	?Mitochondrial DNA depletion syndrome 17	?Mitochondrial DNA depletion syndrome 17, 618567 (3)	n	y	n	y	y	y
SLC25A21	HGNC:14411	618811	MITOCHONDRIAL DNA DEPLETION SYNDROME 18	?Mitochondrial DNA depletion syndrome 18	?Mitochondrial DNA depletion syndrome 18, 618811 (3)	n	y	n	y	y	y
SLC25A10	HGNC:10980	618972	MITOCHONDRIAL DNA DEPLETION SYNDROME 19	?Mitochondrial DNA depletion syndrome 19	?Mitochondrial DNA depletion syndrome 19, 618972 (3)	n	y	n	y	y	y
NDUFB9	HGNC:7704	618245	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 24	?Mitochondrial complex I deficiency, nuclear type 24	?Mitochondrial complex I deficiency, nuclear type 24, 618245 (3)	n	y	n	y	y	y
NDUFA13	HGNC:17194	618249	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 28	?Mitochondrial complex I deficiency, nuclear type 28	?Mitochondrial complex I deficiency, nuclear type 28, 618249 (3)	n	y	n	y	y	y
NDUFB11	HGNC:20372	301021	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 30	?Mitochondrial complex I deficiency, nuclear type 30	?Mitochondrial complex I deficiency, nuclear type 30, 301021 (3)	n	y	n	y	y	y
NDUFB10	HGNC:7696	619003	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 35	?Mitochondrial complex I deficiency, nuclear type 35	?Mitochondrial complex I deficiency, nuclear type 35, 619003 (3)	n	y	n	y	y	y
NDUFB7	HGNC:7702	620135	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 39	?Mitochondrial complex I deficiency, nuclear type 39	?Mitochondrial complex I deficiency, nuclear type 39, 620135 (3)	n	y	n	y	y	y
UQCRH	HGNC:12590	620137	MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 11	?Mitochondrial complex III deficiency, nuclear type 11	?Mitochondrial complex III deficiency, nuclear type 11, 620137 (3)	n	y	n	y	y	y
UQCC3	HGNC:34399	616111	MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 9	?Mitochondrial complex III deficiency, nuclear type 9	?Mitochondrial complex III deficiency, nuclear type 9, 616111 (3)	n	y	n	y	y	y
COX14	HGNC:28216	619053	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 10	?Mitochondrial complex IV deficiency, nuclear type 10	?Mitochondrial complex IV deficiency, nuclear type 10, 619053 (3)	n	y	n	y	y	y
COA3	HGNC:24990	619058	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 14	?Mitochondrial complex IV deficiency, nuclear type 14	?Mitochondrial complex IV deficiency, nuclear type 14, 619058 (3)	n	y	n	y	y	y
COX8A	HGNC:2294	619059	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 15	?Mitochondrial complex IV deficiency, nuclear type 15	?Mitochondrial complex IV deficiency, nuclear type 15, 619059 (3)	n	y	n	y	y	y
PET117	HGNC:40045	619063	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 19	?Mitochondrial complex IV deficiency, nuclear type 19	?Mitochondrial complex IV deficiency, nuclear type 19, 619063 (3)	n	y	n	y	y	y
COX5A	HGNC:2267	619064	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 20	?Mitochondrial complex IV deficiency, nuclear type 20	?Mitochondrial complex IV deficiency, nuclear type 20, 619064 (3)	n	y	n	y	y	y
COXFA4	HGNC:7687	619065	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 21	?Mitochondrial complex IV deficiency, nuclear type 21	?Mitochondrial complex IV deficiency, nuclear type 21, 619065 (3)	n	y	n	y	y	y
COA5	HGNC:33848	616500	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 9	?Mitochondrial complex IV, deficiency, nuclear type 9	?Mitochondrial complex IV, deficiency, nuclear type 9, 616500 (3)	n	y	n	y	y	y
ATPAF2	HGNC:18802	604273	MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 1	?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 1	?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 1, 604273 (3)	n	y	n	y	y	y
ATP5E	HGNC:838	614053	MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 3	?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 3	?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 3, 614053 (3)	n	y	n	y	y	y
ATP5F1A	HGNC:823	615228	MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 4	?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 4	?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 4, 615228 (3)	n	y	n	y	y	y
PNPLA8	HGNC:28900	251950	MITOCHONDRIAL MYOPATHY WITH LACTIC ACIDOSIS	?Mitochondrial myopathy with lactic acidosis	?Mitochondrial myopathy with lactic acidosis, 251950 (3)	n	y	n	y	y	y
DZIP1	HGNC:20908	610840	MITRAL VALVE PROLAPSE 3	?Mitral valve prolapse 3	?Mitral valve prolapse 3, 610840 (3)	n	y	n	y	y	y
MBS	-	-	NA	?Moebius syndrome (2)	?Moebius syndrome (2)	n	n	n	n	y	n
PAX6	HGNC:8620	120430	COLOBOMA OF OPTIC NERVE	?Morning glory disc anomaly	?Morning glory disc anomaly, 120430 (3)	n	y	n	y	y	y
CENTAC	-	620153	MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 4	?Mosaic variegated aneuploidy syndrome 4	?Mosaic variegated aneuploidy syndrome 4, 620153 (3)	n	y	n	y	y	n
RELA	HGNC:9955	618287	MUCOCUTANEOUS ULCERATION, CHRONIC	?Mucocutaneous ulceration, chronic	?Mucocutaneous ulceration, chronic, 618287 (3)	n	y	n	y	y	y
RAD21	HGNC:9811	611376	MUNGAN SYNDROME	?Mungan syndrome	?Mungan syndrome, 611376 (3)	n	y	n	y	y	y
MSTN	HGNC:4223	614160	MUSCLE HYPERTROPHY	?Muscle hypertrophy	?Muscle hypertrophy, 614160 (3)	n	y	n	y	y	y
LIMS2	HGNC:16084	616827	MUSCULAR DYSTROPHY, AUTOSOMAL RECESSIVE, WITH CARDIOMYOPATHY AND TRIANGULAR TONGUE	?Muscular dystrophy, autosomal recessive, with cardiomyopathy and triangular tongue	?Muscular dystrophy, autosomal recessive, with cardiomyopathy and triangular tongue, 616827 (3)	n	y	n	y	y	y
TOR1AIP1	HGNC:29456	617072	MYOPATHY, AUTOSOMAL RECESSIVE, WITH RIGID SPINE AND DISTAL JOINT CONTRACTURES	?Muscular dystrophy, autosomal recessive, with rigid spine and distal joint contractures	?Muscular dystrophy, autosomal recessive, with rigid spine and distal joint contractures, 617072 (3)	n	y	n	y	y	y
TRIP4	HGNC:12310	617066	MUSCULAR DYSTROPHY, CONGENITAL, DAVIGNON-CHAUVEAU TYPE	?Muscular dystrophy, congenital, Davignon-Chauveau type	?Muscular dystrophy, congenital, Davignon-Chauveau type, 617066 (3)	n	y	n	y	y	y
DPM3	HGNC:3007	618992	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH IMPAIRED INTELLECTUAL DEVELOPMENT), TYPE B, 15	?Muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type B, 15	?Muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type B, 15, 618992 (3)	n	y	n	y	y	y
POMK	HGNC:26267	616094	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 12	?Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 12	?Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 12, 616094 (3)	n	y	n	y	y	y
ALG14	HGNC:28287	616227	MYASTHENIC SYNDROME, CONGENITAL, 15	?Myasthenic syndrome, congenital, 15, without tubular aggregates	?Myasthenic syndrome, congenital, 15, without tubular aggregates, 616227 (3)	n	y	n	y	y	y
LRP4	HGNC:6696	616304	MYASTHENIC SYNDROME, CONGENITAL, 17	?Myasthenic syndrome, congenital, 17	?Myasthenic syndrome, congenital, 17, 616304 (3)	n	y	n	y	y	y
SNAP25	HGNC:11132	616330	MYASTHENIC SYNDROME, CONGENITAL, 18	?Myasthenic syndrome, congenital, 18	?Myasthenic syndrome, congenital, 18, 616330 (3)	n	y	n	y	y	y
CHRNB1	HGNC:1961	616314	MYASTHENIC SYNDROME, CONGENITAL, 2C, ASSOCIATED WITH ACETYLCHOLINE RECEPTOR DEFICIENCY	?Myasthenic syndrome, congenital, 2C, associated with acetylcholine receptor deficiency	?Myasthenic syndrome, congenital, 2C, associated with acetylcholine receptor deficiency, 616314 (3)	n	y	n	y	y	y
CHRND	HGNC:1965	616321	MYASTHENIC SYNDROME, CONGENITAL, 3A, SLOW-CHANNEL	?Myasthenic syndrome, congenital, 3A, slow-channel	?Myasthenic syndrome, congenital, 3A, slow-channel, 616321 (3)	n	y	n	y	y	y
CHRND	HGNC:1965	616323	MYASTHENIC SYNDROME, CONGENITAL, 3C, ASSOCIATED WITH ACETYLCHOLINE RECEPTOR DEFICIENCY	?Myasthenic syndrome, congenital, 3C, associated with acetylcholine receptor deficiency	?Myasthenic syndrome, congenital, 3C, associated with acetylcholine receptor deficiency, 616323 (3)	n	y	n	y	y	y
NOL3	HGNC:7869	614937	MYOCLONUS, FAMILIAL, 1	?Myoclonus, familial, 1	?Myoclonus, familial, 1, 614937 (3)	n	y	n	y	y	y
SCN8A	HGNC:10596	618364	MYOCLONUS, FAMILIAL, 2	?Myoclonus, familial, 2	?Myoclonus, familial, 2, 618364 (3)	n	y	n	y	y	y
NOTCH3	HGNC:7883	615293	MYOFIBROMATOSIS, INFANTILE, 2	?Myofibromatosis, infantile 2	?Myofibromatosis, infantile 2, 615293 (3)	n	y	n	y	y	y
FXR1	HGNC:4023	618823	MYOPATHY, CONGENITAL PROXIMAL, WITH MINICORE LESIONS	?Myopathy, congenital proximal, with minicore lesions	?Myopathy, congenital proximal, with minicore lesions, 618823 (3)	n	y	n	y	y	y
CNTN1	HGNC:2171	612540	MYOPATHY, CONGENITAL, COMPTON-NORTH	?Myopathy, congenital, Compton-North	?Myopathy, congenital, Compton-North, 612540 (3)	n	y	n	y	y	y
FXR1	HGNC:4023	618822	MYOPATHY, CONGENITAL, WITH RESPIRATORY INSUFFICIENCY AND BONE FRACTURES	?Myopathy, congenital, with respiratory insufficiency and bone fractures	?Myopathy, congenital, with respiratory insufficiency and bone fractures, 618822 (3)	n	y	n	y	y	y
CHCHD10	HGNC:15559	616209	MYOPATHY, ISOLATED MITOCHONDRIAL, AUTOSOMAL DOMINANT	?Myopathy, isolated mitochondrial, autosomal dominant	?Myopathy, isolated mitochondrial, autosomal dominant, 616209 (3)	n	y	n	y	y	y
ACTA1	HGNC:129	616852	MYOPATHY, SCAPULOHUMEROPERONEAL	?Myopathy, scapulohumeroperoneal	?Myopathy, scapulohumeroperoneal, 616852 (3)	n	y	n	y	y	y
COL6A2	HGNC:2212	255600	MYOSCLEROSIS, AUTOSOMAL RECESSIVE	?Myosclerosis, congenital	?Myosclerosis, congenital, 255600 (3)	n	y	n	y	y	y
NAT8L	HGNC:26742	614063	N-ACETYLASPARTATE DEFICIENCY	?N-acetylaspartate deficiency	?N-acetylaspartate deficiency, 614063 (3)	n	y	n	y	y	y
HCRT	HGNC:4847	161400	NARCOLEPSY 1	?Narcolepsy 1	?Narcolepsy 1, 161400 (3)	n	y	n	y	y	y
MOG	HGNC:7197	614250	NARCOLEPSY 7	?Narcolepsy 7	?Narcolepsy 7, 614250 (3)	n	y	n	y	y	y
SLC26A1	HGNC:10993	167030	NEPHROLITHIASIS, CALCIUM OXALATE	?Nephrolithiasis, calcium oxalate	?Nephrolithiasis, calcium oxalate, 167030 (3)	n	y	n	y	y	y
NEK8	HGNC:13387	613824	NEPHRONOPHTHISIS 9	?Nephronophthisis 9	?Nephronophthisis 9, 613824 (3)	n	y	n	y	y	y
SLC41A1	HGNC:19429	619468	NEPHRONOPHTHISIS-LIKE NEPHROPATHY 2	?Nephronophthisis-like nephropathy 2	?Nephronophthisis-like nephropathy 2, 619468 (3)	n	y	n	y	y	y
NUP205	HGNC:18658	616893	NEPHROTIC SYNDROME, TYPE 13	?Nephrotic syndrome, type 13	?Nephrotic syndrome, type 13, 616893 (3)	n	y	n	y	y	y
NUP160	HGNC:18017	618178	NEPHROTIC SYNDROME, TYPE 19	?Nephrotic syndrome, type 19	?Nephrotic syndrome, type 19, 618178 (3)	n	y	n	y	y	y
REPS1	HGNC:15578	617916	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 7	?Neurodegeneration with brain iron accumulation 7	?Neurodegeneration with brain iron accumulation 7, 617916 (3)	n	y	n	y	y	y
CRAT	HGNC:2342	617917	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 8	?Neurodegeneration with brain iron accumulation 8	?Neurodegeneration with brain iron accumulation 8, 617917 (3)	n	y	n	y	y	y
INTS8	HGNC:26048	618572	NEURODEVELOPMENTAL DISORDER WITH CEREBELLAR HYPOPLASIA AND SPASTICITY	?Neurodevelopmental disorder with cerebellar hypoplasia and spasticity	?Neurodevelopmental disorder with cerebellar hypoplasia and spasticity, 618572 (3)	n	y	n	y	y	y
PSMB1	HGNC:9537	620038	NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, HYPOTONIA, AND ABSENT LANGUAGE	?Neurodevelopmental disorder with microcephaly, hypotonia, and absent language	?Neurodevelopmental disorder with microcephaly, hypotonia, and absent language, 620038 (3)	n	y	n	y	y	y
EXOC8	HGNC:24659	619076	NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, SEIZURES, AND BRAIN ATROPHY	?Neurodevelopmental disorder with microcephaly, seizures, and brain atrophy	?Neurodevelopmental disorder with microcephaly, seizures, and brain atrophy, 619076 (3)	n	y	n	y	y	y
ARHGEF2	HGNC:682	617523	NEURODEVELOPMENTAL DISORDER WITH MIDBRAIN AND HINDBRAIN MALFORMATIONS	?Neurodevelopmental disorder with midbrain and hindbrain malformations	?Neurodevelopmental disorder with midbrain and hindbrain malformations, 617523 (3)	n	y	n	y	y	y
PSMC1	HGNC:9547	620071	NEURODEVELOPMENTAL DISORDER WITH POOR GROWTH, SPASTIC TETRAPLEGIA, AND HEARING LOSS	?Neurodevelopmental disorder with poor growth, spastic tetraplegia, and hearing loss	?Neurodevelopmental disorder with poor growth, spastic tetraplegia, and hearing loss, 620071 (3)	n	y	n	y	y	y
HSPB3	HGNC:5248	613376	NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE IIC	?Neuronopathy, distal hereditary motor, type IIC	?Neuronopathy, distal hereditary motor, type IIC, 613376 (3)	n	y	n	y	y	y
REEP1	HGNC:25786	614751	NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE VB	?Neuronopathy, distal hereditary motor, type VB	?Neuronopathy, distal hereditary motor, type VB, 614751 (3)	n	y	n	y	y	y
PMP22	HGNC:9118	139393	GUILLAIN-BARRE SYNDROME, FAMILIAL	?Neuropathy, inflammatory demyelinating	?Neuropathy, inflammatory demyelinating, 139393 (3)	n	y	n	y	y	y
GFI1	HGNC:4237	607847	NEUTROPENIA, NONIMMUNE CHRONIC IDIOPATHIC, OF ADULTS	?Neutropenia, nonimmune chronic idiopathic, of adults	?Neutropenia, nonimmune chronic idiopathic, of adults, 607847 (3)	n	y	n	y	y	y
CSF3R	HGNC:2439	162830	NEUTROPHILIA, HEREDITARY	?Neutrophilia, hereditary	?Neutrophilia, hereditary, 162830 (3)	n	y	n	y	y	y
ACKR3	HGNC:23692	619215	OCULOMOTOR-ABDUCENS SYNKINESIS	?Oculomotor-abducens synkinesis	?Oculomotor-abducens synkinesis, 619215 (3)	n	y	n	y	y	y
NUTM2B-AS1	-	618637	OCULOPHARYNGEAL MYOPATHY WITH LEUKOENCEPHALOPATHY 1	?Oculopharyngeal myopathy with leukoencephalopathy 1	?Oculopharyngeal myopathy with leukoencephalopathy 1, 618637 (3)	n	y	n	y	y	n
