ModelID,PatientID,CellLineName,StrippedCellLineName,Age,SourceType,SangerModelID,RRID,DepmapModelType,GrowthPattern,MolecularSubtype,PrimaryOrMetastasis,SampleCollectionSite,Sex,SourceDetail,CatalogNumber,CCLEName,COSMICID,PublicComments,WTSIMasterCellID,OncotreeCode,OncotreeSubtype,OncotreePrimaryDisease,OncotreeLineage
ACH-000214,PT-R4JkKl,,HS675T,,Commercial,,CVCL_0836,ZFIBCOL,Unknown,,,fibroblast,Male,ATCC,,HS675T_FIBROBLAST,,,,,"Fibroblast, Colorectal",Non-Cancerous,Fibroblast
ACH-000215,PT-G8e35b,LN382,LN382,67.0,Academic lab,,CVCL_3956,GB,Adherent,,,central_nervous_system,Male,Linda Chin,,LN382_CENTRAL_NERVOUS_SYSTEM,,,,GB,Glioblastoma,Diffuse Glioma,CNS/Brain
ACH-000216,PT-Y4syw7,JH-EsoAd1,JHESOAD1,66.0,Academic lab,,CVCL_8098,ESCA,Adherent,,,oesophagus,Male,,,JHESOAD1_OESOPHAGUS,,,,ESCA,Esophageal Adenocarcinoma,Esophagogastric Adenocarcinoma,Esophagus/Stomach
ACH-000217,PT-YfFi4d,JHH-6,JHH6,57.0,Commercial,SIDM00615,CVCL_2788,HCC,Unknown,,Primary,liver,Female,HSRRB,,JHH6_LIVER,1240159.0,,1824.0,HCC,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Liver
ACH-000218,PT-ADoL4a,PL-21,PL21,24.0,Commercial,SIDM00450,CVCL_2161,AML,Unknown,,,haematopoietic_and_lymphoid_tissue,Male,DSMZ,,PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1330991.0,,698.0,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000219,PT-3FxmoJ,A-375,A375,54.0,Commercial,SIDM00795,CVCL_0132,MEL,Adherent,,Primary,skin,Female,ATCC,,A375_SKIN,906793.0,,953.0,MEL,Melanoma,Melanoma,Skin
ACH-000220,PT-WbLsVj,Mino,MINO,68.0,Commercial,,CVCL_1872,MCL,Unknown,,,haematopoietic_and_lymphoid_tissue,Male,ATCC,,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,MCL,Mantle Cell Lymphoma,Non-Hodgkin Lymphoma,Lymphoid
ACH-000221,PT-7v9ThA,SNU-398,SNU398,42.0,Commercial,SIDM01181,CVCL_0077,HCC,Unknown,,Primary,liver,Male,ATCC,,SNU398_LIVER,1240217.0,,2169.0,HCC,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Liver
ACH-000222,PT-y5xucl,AsPC-1,ASPC1,62.0,Commercial,SIDM00899,CVCL_0152,PAAD,Adherent,,Metastatic,ascites,Female,ATCC,,ASPC1_PANCREAS,910702.0,,59.0,PAAD,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Pancreas
ACH-000223,PT-Vntr9y,HCC1937,HCC1937,24.0,Commercial,SIDM00874,CVCL_0290,IDC,Adherent,basal_A,Primary,breast,Female,ATCC,,HCC1937_BREAST,749714.0,,936.0,IDC,Breast Invasive Ductal Carcinoma,Invasive Breast Carcinoma,Breast
ACH-000224,PT-ethUtA,,HS819T,60.0,Commercial,,CVCL_0928,ZFIBBON,Unknown,,,fibroblast,Male,ATCC,,HS819T_FIBROBLAST,,,,,"Fibroblast, Bone",Non-Cancerous,Fibroblast
ACH-000225,PT-0QAhIt,ECC12,ECC12,63.0,Commercial,SIDM00279,CVCL_1189,STSC,Suspension,,,stomach,Male,RIKEN,,ECC12_STOMACH,906849.0,,2094.0,STSC,Small Cell Carcinoma of the Stomach,Esophagogastric Adenocarcinoma,Esophagus/Stomach
ACH-000226,PT-ktST3K,SUP-M2,SUPM2,5.0,Commercial,SIDM00421,CVCL_2209,ALCLALKP,Unknown,,,central_nervous_system,Female,DSMZ,,SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1331040.0,,1878.0,ALCLALKP,Anaplastic Large-Cell Lymphoma ALK Positive,Non-Hodgkin Lymphoma,Lymphoid
ACH-000227,PT-N9Xbr1,KP-N-YN,KPNYN,2.0,Commercial,SIDM00556,CVCL_1341,NBL,Unknown,MYCN_amp,Metastatic,lymph_node,Male,HSRRB,,KPNYN_AUTONOMIC_GANGLIA,907314.0,,1977.0,NBL,Neuroblastoma,Neuroblastoma,Peripheral Nervous System
ACH-000228,PT-HX0QLG,BICR 31,BICR31,,,SIDM00078,CVCL_2312,OCSC,Adherent,,Primary,upper_aerodigestive_tract,Male,ECACC,,BICR31_UPPER_AERODIGESTIVE_TRACT,1290725.0,,940.0,OCSC,Oral Cavity Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,Head and Neck
ACH-000229,PT-DGfHIv,,HS822T,9.0,Commercial,,CVCL_0933,ZFIBBON,Adherent,,Primary,fibroblast,Female,ATCC,,HS822T_FIBROBLAST,,,,,"Fibroblast, Bone",Non-Cancerous,Fibroblast
ACH-000230,PT-ZWtwNq,Hs 742.T,HS742T,71.0,Commercial,,CVCL_0888,ZFIBBRE,Unknown,,,fibroblast,Female,ATCC,,HS742T_FIBROBLAST,,,,,"Fibroblast, Breast",Non-Cancerous,Fibroblast
ACH-000231,PT-nIom71,KALS-1,KALS1,74.0,Commercial,SIDM00613,CVCL_1323,GB,Adherent,,Primary,central_nervous_system,Female,HSRRB,,KALS1_CENTRAL_NERVOUS_SYSTEM,907271.0,,1936.0,GB,Glioblastoma,Diffuse Glioma,CNS/Brain
ACH-000232,PT-88IC1n,U-251 MG,U251MG,75.0,Commercial,SIDM00111,CVCL_0021,ASTR,Adherent,,Primary,central_nervous_system,Male,HSRRB,,U251MG_CENTRAL_NERVOUS_SYSTEM,905983.0,,1913.0,ASTR,Astrocytoma,Diffuse Glioma,CNS/Brain
ACH-000233,PT-zshCzw,DEL,DEL,12.0,Commercial,SIDM00949,CVCL_1170,ALCLALKP,Unknown,,,pleural_effusion,Male,DSMZ,,DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,906836.0,,793.0,ALCLALKP,Anaplastic Large-Cell Lymphoma ALK Positive,Non-Hodgkin Lymphoma,Lymphoid
ACH-000234,PT-A9d4DI,Caki-2,CAKI2,69.0,Commercial,,CVCL_0235,PRCC,Adherent,,Primary,kidney,Male,ATCC,,CAKI2_KIDNEY,,,,PRCC,Papillary Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
ACH-000235,PT-zLTXv3,Panc 04.03,PANC0403,70.0,Commercial,SIDM01137,CVCL_1636,PAAD,Unknown,,Primary,pancreas,Male,ATCC,,PANC0403_PANCREAS,1298476.0,,2123.0,PAAD,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Pancreas
ACH-000236,PT-DDlBLT,SW1417,SW1417,53.0,Commercial,SIDM00812,CVCL_1717,COAD,Adherent,,Primary,Colon,Female,ATCC,,SW1417_LARGE_INTESTINE,909747.0,,974.0,COAD,Colon Adenocarcinoma,Colorectal Adenocarcinoma,Bowel
ACH-000237,PT-wwKJYr,JHOM-1,JHOM1,88.0,Commercial,,CVCL_4644,MOV,Adherent,,Primary,ovary,Female,RIKEN,,JHOM1_OVARY,,,,MOV,Mucinous Ovarian Cancer,Ovarian Epithelial Tumor,Ovary/Fallopian Tube
ACH-000238,PT-Kf5TA3,SCC-4,SCC4,55.0,Commercial,SIDM01081,CVCL_1684,OCSC,Adherent,,Primary,upper_aerodigestive_tract,Male,ATCC,,SCC4_UPPER_AERODIGESTIVE_TRACT,910904.0,,1476.0,OCSC,Oral Cavity Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,Head and Neck
ACH-000239,PT-dhqDHo,HuG1-N,HUG1N,55.0,Commercial,,CVCL_4846,TSTAD,Mixed,,Metastatic,stomach,Male,RIKEN,,HUG1N_STOMACH,,,,TSTAD,Tubular Stomach Adenocarcinoma,Esophagogastric Adenocarcinoma,Esophagus/Stomach
ACH-000240,PT-I7SpWg,,HS600T,,Commercial,,CVCL_0814,ZFIBSKI,Adherent,,Primary,fibroblast,Male,ATCC,,HS600T_FIBROBLAST,,,,,"Fibroblast, Skin",Non-Cancerous,Fibroblast
ACH-000241,PT-0V5kh0,JK-1,JK1,58.0,Commercial,,CVCL_2079,CML,Unknown,,,haematopoietic_and_lymphoid_tissue,Male,DSMZ,,JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,CML,Chronic Myelogenous Leukemia,Myeloproliferative Neoplasms,Myeloid
ACH-000242,PT-9zV4k1,RT4,RT4,63.0,Commercial,SIDM01085,CVCL_0036,BLCA,Unknown,,Primary,urinary_tract,Male,ATCC,,RT4_URINARY_TRACT,687455.0,,1309.0,BLCA,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Bladder/Urinary Tract
ACH-000243,PT-dLpuzD,DAN-G,DANG,68.0,Commercial,SIDM00950,CVCL_0243,PAAD,Unknown,,,pancreas,Female,DSMZ,,DANG_PANCREAS,1290797.0,,871.0,PAAD,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Pancreas
ACH-000244,PT-9fPvh2,DK-MG,DKMG,67.0,Commercial,SIDM00947,CVCL_1173,GB,Adherent,,Primary,central_nervous_system,Female,DSMZ,,DKMG_CENTRAL_NERVOUS_SYSTEM,906839.0,,1386.0,GB,Glioblastoma,Diffuse Glioma,CNS/Brain
ACH-000245,PT-IrNAYx,BL-41,BL41,8.0,Commercial,SIDM00985,CVCL_1087,BL,Unknown,,,haematopoietic_and_lymphoid_tissue,Male,DSMZ,,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,910706.0,,737.0,BL,Burkitt Lymphoma,Non-Hodgkin Lymphoma,Lymphoid
ACH-000246,PT-bLoo9u,SLR 23,SLR23,,Academic lab,,CVCL_V609,CCRCC,Adherent,,Metastatic,kidney,Unknown,Bill Kaelin (DFCI),,SLR23_KIDNEY,,,,CCRCC,Renal Clear Cell Carcinoma,Renal Cell Carcinoma,Kidney
ACH-000247,PT-JKf5mS,OCUM-1,OCUM1,38.0,Commercial,SIDM00568,CVCL_3084,DSTAD,Unknown,,Metastatic,stomach,Female,HSRRB,,OCUM1_STOMACH,1298358.0,,1712.0,DSTAD,Diffuse Type Stomach Adenocarcinoma,Esophagogastric Adenocarcinoma,Esophagus/Stomach
ACH-000248,PT-8CE6ah,AU565,AU565,43.0,Commercial,SIDM00898,CVCL_1074,BRCA,Adherent,HER2_amp,Metastatic,pleural_effusion,Female,ATCC,,AU565_BREAST,910704.0,,726.0,BRCA,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Breast
ACH-000249,PT-hYUBUD,CL-11,CL11,,Commercial,SIDM00944,CVCL_1978,COAD,Unknown,,Primary,Colon,Male,DSMZ,,CL11_LARGE_INTESTINE,1290769.0,,1153.0,COAD,Colon Adenocarcinoma,Colorectal Adenocarcinoma,Bowel
ACH-000250,PT-66upm1,KMRC-20,KMRC20,,Commercial,SIDM00609,CVCL_2986,CCRCC,Adherent,,Primary,kidney,Unknown,HSRRB,,KMRC20_KIDNEY,1298169.0,,1515.0,CCRCC,Renal Clear Cell Carcinoma,Renal Cell Carcinoma,Kidney
ACH-000251,PT-l5gD1h,,NCIH2887,31.0,Academic lab,,CVCL_5159,NSCLC,Adherent,,,lung,Male,Meyerson (Broad) who received from Minna,,NCIH2887_LUNG,,,,NSCLC,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Lung
ACH-000252,PT-XQHvQF,LS1034,LS1034,54.0,Commercial,SIDM00681,CVCL_1382,COAD,Unknown,,Primary,large_intestine,Male,ATCC,,LS1034_LARGE_INTESTINE,917486.0,,1756.0,COAD,Colon Adenocarcinoma,Colorectal Adenocarcinoma,Bowel
ACH-000253,PT-BLAWlD,COLO 201,COLO201,70.0,Commercial,SIDM00823,CVCL_1987,COAD,Unknown,,Metastatic,ascites,Male,ATCC,,COLO201_LARGE_INTESTINE,,,,COAD,Colon Adenocarcinoma,Colorectal Adenocarcinoma,Bowel
ACH-000254,PT-nowpOK,SCC-15,SCC15,55.0,Commercial,SIDM01083,CVCL_1681,OCSC,Unknown,,,upper_aerodigestive_tract,Male,ATCC,,SCC15_UPPER_AERODIGESTIVE_TRACT,910911.0,,2053.0,OCSC,Oral Cavity Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,Head and Neck
ACH-000255,PT-cxJQjg,LMSU,LMSU,27.0,Commercial,,CVCL_4849,STAD,Unknown,,Metastatic,lymph_node,Female,RIKEN,,LMSU_STOMACH,,,,STAD,Stomach Adenocarcinoma,Esophagogastric Adenocarcinoma,Esophagus/Stomach
ACH-000256,PT-qexSkk,COV318,COV318,,,,CVCL_2419,HGSOC,Mixed,,Metastatic,ascites,Female,ECACC,,COV318_OVARY,,,,HGSOC,High-Grade Serous Ovarian Cancer,Ovarian Epithelial Tumor,Ovary/Fallopian Tube
ACH-000257,PT-7LsK3v,COR-L279,CORL279,63.0,,SIDM00511,CVCL_1140,SCLC,Suspension,,Metastatic,lymph_node,Male,ECACC,,CORL279_LUNG,910937.0,,1768.0,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung
ACH-000258,PT-XTyUEa,Du4475,DU4475,62.0,Commercial,SIDM01001,CVCL_1183,BRCA,Suspension,luminal_HER2_amp,Metastatic,skin,Female,ATCC,,DU4475_BREAST,906844.0,,302.0,BRCA,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Breast
ACH-000259,PT-S07K7h,KELLY,KELLY,1.0,Commercial,SIDM01009,CVCL_2092,NBL,Unknown,MYCN_amp,Primary,autonomic_ganglia,Female,DSMZ,,KELLY_AUTONOMIC_GANGLIA,753618.0,,225.0,NBL,Neuroblastoma,Neuroblastoma,Peripheral Nervous System
ACH-000260,PT-7WPGtR,SK-N-AS,SKNAS,6.0,Commercial,SIDM01101,CVCL_1700,NBL,Unknown,,Metastatic,bone_marrow,Female,ATCC,,SKNAS_AUTONOMIC_GANGLIA,724828.0,,1480.0,NBL,Neuroblastoma,Neuroblastoma,Peripheral Nervous System
ACH-000261,PT-9jciof,RERF-LC-AI,RERFLCAI,,Commercial,SIDM00307,CVCL_4402,LUSC,Adherent,,Metastatic,pleural_effusion,Male,RIKEN,,RERFLCAI_LUNG,,,,LUSC,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000262,PT-BYKJeS,UOK101,UOK101,,Academic lab,,CVCL_B076,CCRCC,Adherent,,,kidney,Female,Bill Kaelin (DFCI),,UOK101_KIDNEY,,,,CCRCC,Renal Clear Cell Carcinoma,Renal Cell Carcinoma,Kidney
ACH-000263,PT-uzWVHa,KASUMI-1,KASUMI1,7.0,Commercial,SIDM01005,CVCL_0589,AML,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,,KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907275.0,,1196.0,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000264,PT-T9nCW5,Calu-6,CALU6,61.0,Commercial,SIDM00921,CVCL_0236,LUAD,Adherent,,Metastatic,pleural_effusion,Female,ATCC,,CALU6_LUNG,724859.0,,1844.0,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000265,PT-o1wR3t,KP4,KP4,50.0,Commercial,SIDM00301,CVCL_1338,PAAD,Adherent,,Metastatic,ascites,Male,RIKEN,,KP4_PANCREAS,753572.0,,708.0,PAAD,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Pancreas
ACH-000266,PT-UWtyIo,SNU-213,SNU213,65.0,Commercial,,CVCL_5034,PAAD,Unknown,,,pancreas,Male,KCLB,,SNU213_PANCREAS,,,,PAAD,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Pancreas
ACH-000267,PT-YdqP9d,HDLM-2,HDLM2,74.0,Commercial,SIDM01064,CVCL_0009,HL,Unknown,,,pleural_effusion,Male,DSMZ,,HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,924110.0,,1510.0,HL,Hodgkin Lymphoma,Hodgkin Lymphoma,Lymphoid
ACH-000268,PT-IrDGnP,SNU-245,SNU245,,Commercial,SIDM00162,CVCL_5038,EHCH,Unknown,,,biliary_tract,Unknown,KCLB,,SNU245_BILIARY_TRACT,,,,EHCH,Extrahepatic Cholangiocarcinoma,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract
ACH-000269,PT-Qasynk,AM-38,AM38,36.0,Commercial,SIDM00492,CVCL_1070,GB,Suspension,,Primary,central_nervous_system,Male,HSRRB,,AM38_CENTRAL_NERVOUS_SYSTEM,910933.0,,776.0,GB,Glioblastoma,Diffuse Glioma,CNS/Brain
ACH-000270,PT-htpobI,HPAC,HPAC,64.0,Commercial,SIDM00670,CVCL_3517,PAAD,Adherent,,Primary,pancreas,Female,ATCC,,HPAC_PANCREAS,1298136.0,,744.0,PAAD,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Pancreas
ACH-000271,PT-i02i7U,SU-DHL-10,SUDHL10,25.0,Commercial,SIDM00389,CVCL_1889,DLBCLNOS,Suspension,,Metastatic,pleural_effusion,Male,DSMZ,,SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1331033.0,,269.0,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid
ACH-000272,PT-cSAYbR,SLR 24,SLR24,,Academic lab,,CVCL_V610,CCRCC,Adherent,,Primary,kidney,Unknown,Bill Kaelin (DFCI),,SLR24_KIDNEY,,This line is an RCC4 derivative (ICLAC). DepMap metadata has been updated (as of 22Q2) to reflect this.,,CCRCC,Renal Clear Cell Carcinoma,Renal Cell Carcinoma,Kidney
ACH-000273,PT-qWYBLI,SF539,SF539,34.0,Academic lab,SIDM00083,CVCL_1691,GSARC,Unknown,,Primary,central_nervous_system,Female,Garraway lab,,SF539_CENTRAL_NERVOUS_SYSTEM,905984.0,,1781.0,GSARC,Gliosarcoma,Diffuse Glioma,CNS/Brain
ACH-000274,PT-QbMSjm,Hs 852.T,HS852T,53.0,Commercial,,CVCL_0950,MEL,Unknown,,,skin,Male,ATCC,,HS852T_SKIN,,,,MEL,Melanoma,Melanoma,Skin
ACH-000275,PT-CaS06R,,HS834T,27.0,,,CVCL_0938,ZFIBSKI,Unknown,,Metastatic,lymph_node,Female,,,HS834T_FIBROBLAST,,,,,"Fibroblast, Skin",Non-Cancerous,Fibroblast
ACH-000276,PT-S4bLNM,HCC38,HCC38,50.0,Commercial,SIDM00675,CVCL_1267,IDC,Adherent,basal_A,Primary,breast,Female,ATCC,,HCC38_BREAST,749717.0,,1318.0,IDC,Breast Invasive Ductal Carcinoma,Invasive Breast Carcinoma,Breast
ACH-000277,PT-osxHUh,HCC1419,HCC1419,42.0,Commercial,SIDM00882,CVCL_1251,IDC,Unknown,HER2_amp,Primary,breast,Female,ATCC,,HCC1419_BREAST,907045.0,,1551.0,IDC,Breast Invasive Ductal Carcinoma,Invasive Breast Carcinoma,Breast
ACH-000278,PT-BexFYH,COV362,COV362,,,,CVCL_2420,HGSOC,Adherent,,Metastatic,pleural_effusion,Female,ECACC,,COV362_OVARY,,,,HGSOC,High-Grade Serous Ovarian Cancer,Ovarian Epithelial Tumor,Ovary/Fallopian Tube
ACH-000279,PT-BpX01U,EWS502,EWS502,,Academic lab,,CVCL_S740,ES,Adherent,EWS_FLI,,bone,Unknown,Marino-Enriquez (BWH),,EWS502_BONE,,,,ES,Ewing Sarcoma,Ewing Sarcoma,Bone
ACH-000280,PT-S0isOw,SNU-840,SNU840,45.0,Commercial,,CVCL_5100,BTMOV,Adherent,,Primary,ovary,Female,KCLB,,SNU840_OVARY,,,,BTMOV,"Brenner Tumor, Malignant",Ovarian Epithelial Tumor,Ovary/Fallopian Tube
ACH-000281,PT-aIUMLY,KP-2,KP2,65.0,Commercial,SIDM00582,CVCL_3004,PAAD,Adherent,,Primary,pancreas,Female,HSRRB,,KP2_PANCREAS,1298218.0,,746.0,PAAD,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Pancreas
ACH-000282,PT-tUaDvw,NCI-H1755,NCIH1755,65.0,Commercial,SIDM00738,CVCL_1492,LUAD,Mixed,,Metastatic,liver,Female,ATCC,,NCIH1755_LUNG,908475.0,,1240.0,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000283,PT-jCV3Db,A1207,A1207,,Academic lab,,CVCL_8481,GB,Adherent,,,central_nervous_system,Female,Linda Chin,,A1207_CENTRAL_NERVOUS_SYSTEM,,,,GB,Glioblastoma,Diffuse Glioma,CNS/Brain
ACH-000284,PT-LnFH3Z,,HS840T,7.0,Commercial,,CVCL_0942,ZFIBUPA,Unknown,,,fibroblast,Male,ATCC,,HS840T_FIBROBLAST,,,,,"Fibroblast, Upper Aerodigestive",Non-Cancerous,Fibroblast
ACH-000285,PT-gL1kFD,Toledo,TOLEDO,,Commercial,,CVCL_3611,DLBCLNOS,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,ATCC,,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid
ACH-000286,PT-eQWzKj,SNU-1033,SNU1033,45.0,Commercial,SIDM00192,CVCL_5002,READ,Unknown,,Primary,large_intestine,Female,KCLB,,SNU1033_LARGE_INTESTINE,,,,READ,Rectal Adenocarcinoma,Colorectal Adenocarcinoma,Bowel
ACH-000287,PT-dNbHpB,NU-DUL-1,NUDUL1,43.0,Commercial,SIDM00443,CVCL_1877,ABC,Unknown,,,central_nervous_system,Male,DSMZ,,NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1330982.0,,95.0,ABC,Activated B-cell Type,Non-Hodgkin Lymphoma,Lymphoid
ACH-000288,PT-hgWgpg,BT-549,BT549,72.0,Commercial,SIDM00122,CVCL_1092,BRCNOS,Adherent,basal_B,Primary,breast,Female,ATCC,,BT549_BREAST,905951.0,,1835.0,BRCNOS,"Breast Invasive Carcinoma, NOS",Invasive Breast Carcinoma,Breast
ACH-000289,PT-KlxS9l,SNU-466,SNU466,61.0,Commercial,,CVCL_5064,GB,Unknown,,,central_nervous_system,Male,KCLB,,SNU466_CENTRAL_NERVOUS_SYSTEM,,,,GB,Glioblastoma,Diffuse Glioma,CNS/Brain
ACH-000290,PT-DzY90c,NCI-H209,NCIH209,55.0,Commercial,SIDM00706,CVCL_1525,SCLC,Suspension,,Metastatic,bone_marrow,Male,ATCC,,NCIH209_LUNG,688013.0,,452.0,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung
ACH-000291,PT-MtLxSF,OV-90,OV90,64.0,Commercial,SIDM01141,CVCL_3768,SOC,Adherent,,Metastatic,ascites,Female,ATCC,,OV90_OVARY,1240197.0,,1327.0,SOC,Serous Ovarian Cancer,Ovarian Epithelial Tumor,Ovary/Fallopian Tube
ACH-000292,PT-x8fAhk,NCI-H841,NCIH841,51.0,Commercial,SIDM01134,CVCL_1595,SCLC,Unknown,,Metastatic,lung,Male,ATCC,,NCIH841_LUNG,1240192.0,,1372.0,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung
ACH-000293,PT-tjaCAG,KLE,KLE,68.0,Commercial,SIDM00686,CVCL_1329,UCEC,Unknown,,Primary,endometrium,Female,ATCC,,KLE_ENDOMETRIUM,924187.0,,2256.0,UCEC,Endometrial Carcinoma,Endometrial Carcinoma,Uterus
ACH-000294,PT-ogTwsS,NB-4,NB4,23.0,Commercial,SIDM00428,CVCL_0005,AML,Suspension,,Primary,bone_marrow,Female,DSMZ,,NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1323913.0,,1285.0,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000295,PT-PfwDZx,EM-2,EM2,5.0,Commercial,SIDM01047,CVCL_1196,CMLBCRABL1,Unknown,,,bone_marrow,Female,DSMZ,,EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,906855.0,,901.0,CMLBCRABL1,"Chronic Myeloid Leukemia, BCR-ABL1+",Myeloproliferative Neoplasms,Myeloid
ACH-000296,PT-GezIUF,OUMS-23,OUMS23,37.0,Commercial,SIDM00036,CVCL_3088,COAD,Unknown,,Metastatic,pericardial_effusion,Male,HSRRB,,OUMS23_LARGE_INTESTINE,,,,COAD,Colon Adenocarcinoma,Colorectal Adenocarcinoma,Bowel
ACH-000297,PT-0Ds3by,NCI-H889,NCIH889,69.0,Commercial,,CVCL_1598,SCLC,Suspension,,Metastatic,lymph_node,Female,ATCC,,NCIH889_LUNG,,,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung
ACH-000298,PT-2tJBcj,NCI-H2029,NCIH2029,69.0,Commercial,SIDM00735,CVCL_1516,SCLC,Adherent,,Metastatic,lymph_node,Female,ATCC,,NCIH2029_LUNG,688011.0,,2106.0,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung
ACH-000299,PT-OEqvYu,HNT-34,HNT34,47.0,Academic lab,,CVCL_2071,AML,Suspension,,,haematopoietic_and_lymphoid_tissue,Female,,,HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000300,PT-QvcrZr,SLR 25,SLR25,,Academic lab,,CVCL_V611,CCRCC,Adherent,,Metastatic,kidney,Unknown,Bill Kaelin (DFCI),,SLR25_KIDNEY,,,,CCRCC,Renal Clear Cell Carcinoma,Renal Cell Carcinoma,Kidney
ACH-000301,PT-qTtBxS,LAMA-84,LAMA84,29.0,Commercial,SIDM00346,CVCL_0388,CML,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,DSMZ,,LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907783.0,,709.0,CML,Chronic Myelogenous Leukemia,Myeloproliferative Neoplasms,Myeloid
ACH-000302,PT-SeH5WZ,SNU-1077,SNU1077,60.0,Commercial,SIDM00166,CVCL_5007,UCS,Unknown,,Primary,endometrium,Female,KCLB,,SNU1077_ENDOMETRIUM,,,,UCS,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,Endometrial Carcinoma,Uterus
ACH-000303,PT-7cPLvN,SNU-5,SNU5,33.0,Commercial,SIDM01144,CVCL_0078,STAD,Suspension,,Metastatic,ascites,Female,ATCC,,SNU5_STOMACH,908445.0,,28.0,STAD,Stomach Adenocarcinoma,Esophagogastric Adenocarcinoma,Esophagus/Stomach
ACH-000304,PT-JAyPtz,WM-115,WM115,55.0,Commercial,SIDM01000,CVCL_0040,MEL,Adherent,,Metastatic,skin,Female,ATCC,,WM115_SKIN,909784.0,,1000.0,MEL,Melanoma,Melanoma,Skin
ACH-000305,PT-iltdpC,EC-GI-10,ECGI10,65.0,Commercial,SIDM00278,CVCL_1187,ESCC,Adherent,,,lymph_node,Male,RIKEN,,ECGI10_OESOPHAGUS,753555.0,,2138.0,ESCC,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach
ACH-000306,PT-CqYJd5,Hs 688(A).T,HS688AT,69.0,Commercial,,CVCL_0846,ZFIBSKI,Adherent,,Primary,fibroblast,Male,ATCC,,HS688AT_FIBROBLAST,,,,,"Fibroblast, Skin",Non-Cancerous,Fibroblast
ACH-000307,PT-rg0sYD,PK-1,PK1,,Commercial,,CVCL_4717,PAAD,Unknown,,Metastatic,liver,Male,RIKEN,,PK1_PANCREAS,,,,PAAD,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Pancreas
